problem,r2,seconds,generations,expression
I.14.3  m*g*z,1.000000,7.064,500,1.9319305419921875 + 0.732940673828125 + -2.664825439453125 + (m * (z * g))
I.12.1  mu*Nn,1.000000,6.058,500,-2.8707427978515625 + 1.5620269775390625 + 1.3087158203125 + (mu * Nn)
I.13.4  0.5*m*(u^2+v^2+w^2),0.956190,7.840,500,((v - 2.9822540283203125) * v) + (m * (w * u)) + (m * v) + (m * v)
I.39.1  1.5*pr*V,0.996776,6.869,500,(pr * ((((0.8748016357421875 - 0.8748016357421875) - V) + (V * 1.203582763671875)) + 0.8748016357421875)) + -3.00341796875 + (V * pr) + V
I.25.13  q/C,1.000000,6.280,500,-0.6658172607421875 + 0.11883544921875 + 0.5469818115234375 + (q / C)
I.12.2  q1*q2/r^2,0.970792,8.001,500,(q2 / r) + -1.3831939697265625 + (q1 / ((r * 2.4133758544921875) / (q2 / r))) + (q1 / r)
